"Timestamp","  
By clicking ""Yes"" below, you consent to your anonymous responses being used for the purposes of this academic study.
Do you consent to participate?
","1. Which best describes your role in the furniture selection process? ","2. Age Group ","3. How many years of experience do you have in furniture sales or design?
","4. Rate your proficiency with 3D design software (e.g., AutoCAD, SketchUp, or The Sims):
","5. How important is ""Speed of Use"" when sitting in front of a live customer?
","6. When setting up a room’s shape, which input method feels most efficient?
( If you were showing a salesperson your room, which way would be easiest for you to give them the room's shape)","7. How would you prefer to handle irregular wall shapes (e.g., alcoves or slanted walls)?
","8. When managing multiple client designs, how would you prefer to ""Store"" them?
","9. To ""Scale"" furniture to fit a space, which interaction is most intuitive?
( To change the size of a piece of furniture on the screen, what feels most natural?)","10. When visualizing a room for a client, which rendering style is most helpful?
","11. For ""Color Changes,"" would you prefer to apply colors to:
","12. If you make a mistake (e.g., deleting a sofa), what is your preferred ""Error Recovery""?
","13. If a 3D model is taking time to load, how should the system inform you?
","14. What is your biggest ""UX Pain Point"" when using design software?
","15. Which accessibility feature would help you most during a long consultation? ","16. Which room types and furniture are most important for your consultations? (Select all that apply) ","17. Primary Device: Which hardware will you use most during a customer meeting? ","18. After the design is finished, how would you like to share it with the customer? ","19.  What is the biggest problem you face right now when trying to show a customer how furniture will look in their room? ","20. If you were using this tool in a store, would you prefer to control the screen yourself, or have the salesperson do it while you watch?
(Note: This question is for customers only) "
"2026/02/16 8:38:01 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","5","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.","A ""Low Resolution"" version that sharpens over time.","Slow loading times.","Ability to increase font size of measurements.","Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Export as a PDF/Image to email them","Not sure",""
"2026/02/16 9:07:41 PM GMT+5:30","Yes","Homeowner / Individual Customer","41–55","0 - 2 Years","1","5","Selecting from pre-set templates (L-shape, Square, Rectangle).","","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A pop-up asking ""Are you sure?"" before deleting.","A spinning animation with a time estimate.","Cluttered interface (too many buttons).","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Not showing 3D view",""
"2026/02/16 10:15:35 PM GMT+5:30","Yes","Homeowner / Individual Customer","26–40","0 - 2 Years","2","2","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Slow loading times.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Desktop PC / Mac","Print a physical 2D/3D floor plan.","Capacity ",""
"2026/02/16 10:16:24 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","5","5","Dragging walls on a grid with a mouse/finger.","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Difficulty moving objects precisely.","High-contrast mode for screen visibility.","Dining Rooms (Tables, Chairs)","Laptop (Portable)","Print a physical 2D/3D floor plan.","Explaining little details ",""
"2026/02/16 10:18:25 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","3–7 years","3","3","Dragging walls on a grid with a mouse/finger.","Drawing point-by-point with a ""Custom Shape"" tool.","By Date Created.","Numerical Input: Typing exact CM/Inches into a sidebar.","Realistic Shading: Full shadows and textures (high engagement).","","A pop-up asking ""Are you sure?"" before deleting.","A ""Low Resolution"" version that sharpens over time.","Difficulty moving objects precisely.","Ability to increase font size of measurements.","Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Print a physical 2D/3D floor plan.","Quality",""
"2026/02/16 10:28:38 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","3","3","Dragging walls on a grid with a mouse/finger.","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Slow loading times.","High-contrast mode for screen visibility.","Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","The biggest problem is helping customers accurately visualize scale, fit, and style of the furniture in their actual room—especially how it looks with their lighting, existing furniture, and layout—without being there in person.",""
"2026/02/16 10:31:50 PM GMT+5:30","Yes","Student / Hobbyist","26–40","0 - 2 Years","4","3","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.;A keyboard shortcut (Ctrl+Z).","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.;A spinning animation with a time estimate.","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.;Keyboard-only navigation.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Print a physical 2D/3D floor plan.","Lack of Real Visualization",""
"2026/02/16 10:35:30 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","1","1","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A pop-up asking ""Are you sure?"" before deleting.","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","Ability to increase font size of measurements.","Dining Rooms (Tables, Chairs)","Laptop (Portable)","Export as a PDF/Image to email them","I don’t know",""
"2026/02/16 10:36:27 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","8+ years","2","3","Selecting from pre-set templates (L-shape, Square, Rectangle).","Modifying a standard template by dragging wall segments.","By Date Created.","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","-",""
"2026/02/16 10:38:19 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","1","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).;Difficulty moving objects precisely.","Ability to increase font size of measurements.;Keyboard-only navigation.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Give them a ""Viewer Link"" to look at the 3D model at home.","Nothing ",""
"2026/02/16 10:47:47 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","3","5","Dragging walls on a grid with a mouse/finger.","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A pop-up asking ""Are you sure?"" before deleting.","A ""Low Resolution"" version that sharpens over time.","Difficulty moving objects precisely.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","If they like it or not",""
"2026/02/16 10:51:32 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","1","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Project Status (e.g., In Progress, Completed).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Realistic Shading: Full shadows and textures (high engagement).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","Keyboard-only navigation.","Living Rooms (Sofas, Side tables)","Desktop PC / Mac","Print a physical 2D/3D floor plan.","No idea",""
"2026/02/16 10:51:44 PM GMT+5:30","Yes","Professional Interior Designer / Sales Consultant","26–40","3–7 years","1","4","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Drawing point-by-point with a ""Custom Shape"" tool.","By Project Status (e.g., In Progress, Completed).","Numerical Input: Typing exact CM/Inches into a sidebar.","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A keyboard shortcut (Ctrl+Z).","A percentage loading bar (e.g., 65%).","Slow loading times.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables)","Desktop PC / Mac","Print a physical 2D/3D floor plan.","No",""
"2026/02/16 11:04:30 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","3","2","Dragging walls on a grid with a mouse/finger.","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","Individual items only (e.g., just the chair).","A pop-up asking ""Are you sure?"" before deleting.;A keyboard shortcut (Ctrl+Z).","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables)","Laptop (Portable)","Export as a PDF/Image to email them","Time",""
"2026/02/16 11:04:47 PM GMT+5:30","Yes","Student / Hobbyist","18–25","3–7 years","3","3","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Project Status (e.g., In Progress, Completed).","Numerical Input: Typing exact CM/Inches into a sidebar.","Realistic Shading: Full shadows and textures (high engagement).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.","A ""Low Resolution"" version that sharpens over time.","Slow loading times.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables)","Laptop (Portable)","Print a physical 2D/3D floor plan.","Wrong Size & Scale Visualization",""
"2026/02/16 11:05:16 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","1","Selecting from pre-set templates (L-shape, Square, Rectangle).","Uploading a floor plan image to trace over.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Cluttered interface (too many buttons).","High-contrast mode for screen visibility.","Dining Rooms (Tables, Chairs)","Desktop PC / Mac","Print a physical 2D/3D floor plan.","Ai ",""
"2026/02/16 11:05:45 PM GMT+5:30","Yes","Professional Interior Designer / Sales Consultant","26–40","3–7 years","3","5","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Flat Color: Clean and simple (fast performance).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.;A spinning animation with a time estimate.","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes);Office Spaces( office tables, Cupboard), Business Stores( Guest Sofas)","Laptop (Portable)","Export as a PDF/Image to email them","It's is very difficult to show exactly how will the furniture will look like in 3D compared to real placement with external conditions ( such as light, window direction) . ",""
"2026/02/16 11:08:14 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","4","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Uploading a floor plan image to trace over.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.",".",""
"2026/02/16 11:11:06 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","1","2","Selecting from pre-set templates (L-shape, Square, Rectangle).","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A keyboard shortcut (Ctrl+Z).","A ""Low Resolution"" version that sharpens over time.","Difficulty moving objects precisely.","Keyboard-only navigation.","Living Rooms (Sofas, Side tables)","Desktop PC / Mac","Give them a ""Viewer Link"" to look at the 3D model at home.","Makes it untidy",""
"2026/02/16 11:25:40 PM GMT+5:30","Yes","Student / Hobbyist","26–40","0 - 2 Years","1","3","Selecting from pre-set templates (L-shape, Square, Rectangle).","Modifying a standard template by dragging wall segments.","By Project Status (e.g., In Progress, Completed).","Numerical Input: Typing exact CM/Inches into a sidebar.","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.;A keyboard shortcut (Ctrl+Z).","A spinning animation with a time estimate.","Slow loading times.;Cluttered interface (too many buttons).","High-contrast mode for screen visibility.;Ability to increase font size of measurements.;Keyboard-only navigation.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Print a physical 2D/3D floor plan.","Not yet",""
"2026/02/16 11:56:25 PM GMT+5:30","Yes","Professional Interior Designer / Sales Consultant","26–40","3–7 years","4","5","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.;A spinning animation with a time estimate.","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs)","Desktop PC / Mac","Give them a ""Viewer Link"" to look at the 3D model at home.","Working with 3D. Need a good 3D graphics for customer engagement.",""
"2026/02/17 1:01:11 AM GMT+5:30","Yes","Professional Interior Designer / Sales Consultant","18–25","0 - 2 Years","2","3","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Project Status (e.g., In Progress, Completed).","Numerical Input: Typing exact CM/Inches into a sidebar.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.","Slow loading times.;Cluttered interface (too many buttons).","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Give them a ""Viewer Link"" to look at the 3D model at home.","Less use of technology 3D ",""
