"Timestamp","  
"2026/02/17 4:19:31 AM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","2","Selecting from pre-set templates (L-shape, Square, Rectangle).","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).","Difficulty moving objects precisely.","Keyboard-only navigation.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Desktop PC / Mac","Print a physical 2D/3D floor plan.","Lag",""
"2026/02/17 6:14:17 AM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","5","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.;Keyboard-only navigation.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","I don’t know ",""
"2026/02/17 7:43:20 AM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","3","Selecting from pre-set templates (L-shape, Square, Rectangle).","Uploading a floor plan image to trace over.","By Project Status (e.g., In Progress, Completed).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).","Slow loading times.;Difficulty moving objects precisely.","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Too much complex system hard to handle ",""
"2026/02/17 8:06:28 AM GMT+5:30","Yes","Homeowner / Individual Customer","56+","8+ years","1","1","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.;A spinning animation with a time estimate.","Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Bedrooms (Beds, Wardrobes)","Desktop PC / Mac","Give them a ""Viewer Link"" to look at the 3D model at home.","It’s complicated to use as a customer.",""
"2026/02/17 8:08:37 AM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","2","5","Dragging walls on a grid with a mouse/finger.","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).","Difficulty moving objects precisely.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Print a physical 2D/3D floor plan.","Pdf",""
"2026/02/17 8:08:51 AM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","2","5","Selecting from pre-set templates (L-shape, Square, Rectangle).","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.;A keyboard shortcut (Ctrl+Z).","A percentage loading bar (e.g., 65%).;A spinning animation with a time estimate.","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","N/A",""
"2026/02/17 9:51:25 AM GMT+5:30","Yes","Homeowner / Individual Customer","41–55","0 - 2 Years","1","5","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).;A spinning animation with a time estimate.","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Desktop PC / Mac","Give them a ""Viewer Link"" to look at the 3D model at home.","Technical Difficulty: ""I’m not a tech person—3D tools usually feel too complicated, and I’m afraid I’ll get stuck or frustrated.""","Desingner/ Salesperson"
"2026/02/17 10:04:58 AM GMT+5:30","Yes","Student / Hobbyist","18–25","3–7 years","3","4","Selecting from pre-set templates (L-shape, Square, Rectangle).","Uploading a floor plan image to trace over.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Flat Color: Clean and simple (fast performance).","Individual items only (e.g., just the chair).","A keyboard shortcut (Ctrl+Z).","A ""Low Resolution"" version that sharpens over time.","Slow loading times.","Keyboard-only navigation.","Living Rooms (Sofas, Side tables)","Laptop (Portable)","Export as a PDF/Image to email them","Communication: It’s hard to explain my vision to a designer without seeing it first.","Myself"
"2026/02/17 10:20:59 AM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","4","5","Dragging walls on a grid with a mouse/finger.","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A ""Low Resolution"" version that sharpens over time.","Slow loading times.","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Give them a ""Viewer Link"" to look at the 3D model at home.","Spatial Fit: It’s hard to tell if the furniture is too big or small for my floor space.","Desingner/ Salesperson"
"2026/02/17 10:50:43 AM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","4","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A pop-up asking ""Are you sure?"" before deleting.;A keyboard shortcut (Ctrl+Z).","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Spatial Fit: It’s hard to tell if the furniture is too big or small for my floor space.","Myself"
"2026/02/17 11:25:44 AM GMT+5:30","Yes","Student / Hobbyist","18–25","","","3","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Communication: It’s hard to explain my vision to a designer without seeing it first.","Desingner/ Salesperson"
"2026/02/17 12:23:50 PM GMT+5:30","Yes","Student / Hobbyist","18–25","","","5","Selecting from pre-set templates (L-shape, Square, Rectangle).","","","","","","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.;A keyboard shortcut (Ctrl+Z).","A ""Low Resolution"" version that sharpens over time.;A spinning animation with a time estimate.","","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Spatial Fit: It’s hard to tell if the furniture is too big or small for my floor space.","Myself"
"2026/02/17 3:49:36 PM GMT+5:30","Yes","Student / Hobbyist","26–40","0 - 2 Years","1","3","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Project Status (e.g., In Progress, Completed).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables)","Desktop PC / Mac","Export as a PDF/Image to email them","Visual Style: I’m worried the colors and lighting won't match my real .","Myself"
"2026/02/17 5:58:18 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","2","4","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.;A keyboard shortcut (Ctrl+Z).","A percentage loading bar (e.g., 65%).;A ""Low Resolution"" version that sharpens over time.;A spinning animation with a time estimate.","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Spatial Fit: It’s hard to tell if the furniture is too big or small for my floor space.","Myself"
"2026/02/17 8:21:17 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","3","3","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Uploading a floor plan image to trace over.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Cluttered interface (too many buttons).;Difficulty moving objects precisely.","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Spatial Fit: It’s hard to tell if the furniture is too big or small for my floor space.","Hybrid"
"2026/02/17 9:07:42 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","3","1","Selecting from pre-set templates (L-shape, Square, Rectangle).","Uploading a floor plan image to trace over.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Flat Color: Clean and simple (fast performance).","Individual items only (e.g., just the chair).","A pop-up asking ""Are you sure?"" before deleting.;A keyboard shortcut (Ctrl+Z).","A ""Low Resolution"" version that sharpens over time.","Slow loading times.;Difficulty moving objects precisely.","High-contrast mode for screen visibility.;Keyboard-only navigation.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Print a physical 2D/3D floor plan.","Communication: It’s hard to explain my vision to a designer without seeing it first.","Myself"
"2026/02/17 9:38:04 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","4","Selecting from pre-set templates (L-shape, Square, Rectangle).","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Slow loading times.;Difficulty moving objects precisely.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Give them a ""Viewer Link"" to look at the 3D model at home.","Visual Style: I’m worried the colors and lighting won't match my real .","Hybrid"
"2026/02/18 9:17:43 AM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","2","5","Selecting from pre-set templates (L-shape, Square, Rectangle).","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.;A pop-up asking ""Are you sure?"" before deleting.;A keyboard shortcut (Ctrl+Z).","A percentage loading bar (e.g., 65%).;A spinning animation with a time estimate.","Difficulty moving objects precisely.","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Communication: It’s hard to explain my vision to a designer without seeing it first.","Hybrid"
"2026/02/18 3:30:28 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","1","2","Dragging walls on a grid with a mouse/finger.","Drawing point-by-point with a ""Custom Shape"" tool.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Realistic Shading: Full shadows and textures (high engagement).","The entire room scheme at once (e.g., a ""Modern Blue"" theme).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Difficulty moving objects precisely.","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Desktop PC / Mac","Print a physical 2D/3D floor plan.","Visual Style: I’m worried the colors and lighting won't match my real .","Desingner/ Salesperson"
"2026/02/18 3:34:35 PM GMT+5:30","Yes","Homeowner / Individual Customer","18–25","0 - 2 Years","2","4","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Numerical Input: Typing exact CM/Inches into a sidebar.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Desktop PC / Mac","Print a physical 2D/3D floor plan.","Visual Style: I’m worried the colors and lighting won't match my real .","Hybrid"
"2026/02/18 5:00:30 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","5","Dragging walls on a grid with a mouse/finger.","Drawing point-by-point with a ""Custom Shape"" tool.","By Project Status (e.g., In Progress, Completed).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Realistic Shading: Full shadows and textures (high engagement).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Slow loading times.;Cluttered interface (too many buttons).;Difficulty moving objects precisely.","High-contrast mode for screen visibility.","Living Rooms (Sofas, Side tables);Dining Rooms (Tables, Chairs);Bedrooms (Beds, Wardrobes)","Laptop (Portable)","Give them a ""Viewer Link"" to look at the 3D model at home.","Visual Style: I’m worried the colors and lighting won't match my real .","Myself"
"2026/02/18 5:17:55 PM GMT+5:30","Yes","Homeowner / Individual Customer","26–40","0 - 2 Years","3","5","Dragging walls on a grid with a mouse/finger.","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A ""Low Resolution"" version that sharpens over time.","Cluttered interface (too many buttons).","Ability to increase font size of measurements.","Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Export as a PDF/Image to email them","Spatial Fit: It’s hard to tell if the furniture is too big or small for my floor space.","Hybrid"
"2026/02/18 5:18:16 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","2","Typing exact numerical dimensions (e.g., 5.0m x 4.0m)","Modifying a standard template by dragging wall segments.","By Project Status (e.g., In Progress, Completed).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A pop-up asking ""Are you sure?"" before deleting.","A percentage loading bar (e.g., 65%).","Slow loading times.","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables)","Tablet / Touch screen (e.g., iPad)","Give them a ""Viewer Link"" to look at the 3D model at home.","Spatial Fit: It’s hard to tell if the furniture is too big or small for my floor space.","Desingner/ Salesperson"
"2026/02/18 5:44:27 PM GMT+5:30","Yes","Student / Hobbyist","18–25","0 - 2 Years","1","","Selecting from pre-set templates (L-shape, Square, Rectangle).","Modifying a standard template by dragging wall segments.","By Client Name (e.g., Smith_LivingRoom_V1).","Direct Manipulation: Dragging corner ""handles"" on the 3D model.","Both (Individual items + Global themes).","Individual items only (e.g., just the chair).","A visible ""Undo"" button on the screen.","A percentage loading bar (e.g., 65%).","Cluttered interface (too many buttons).","Ability to increase font size of measurements.","Living Rooms (Sofas, Side tables);Bedrooms (Beds, Wardrobes)","Tablet / Touch screen (e.g., iPad)","Print a physical 2D/3D floor plan.","Technical Difficulty: ""I’m not a tech person—3D tools usually feel too complicated, and I’m afraid I’ll get stuck or frustrated.""","Hybrid"